mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
17.99,10.38,139.1200053995505,1203.8879931874228,0.1184,0.2579662474994631,0.28833168956577193,0.1471,0.2419,0.06913526575077687,1.095,1.1527209876743059,8.589,153.4,0.006399,0.04177130187368311,0.05372999999999999,0.01587,0.03641004560856241,0.004696700718762837,25.713886515333567,17.33,184.6,2405.6841715914047,0.1531917101105609,0.6656,0.6173231762769866,0.2654,0.4601,0.10063059968934705
20.57,17.852966347522177,132.9,1301.8732175254868,0.09158406816793521,0.07864,0.0869,0.07017000000000001,0.1812,0.056670000000000005,0.5803646341340175,0.7339,3.398,74.08,0.005225,0.013080000000000001,0.0186,0.0134,0.013890000000000001,0.0025120511875880223,24.99,23.530739310786107,158.8,1789.9427045374473,0.1238,0.1866,0.2416,0.16254921839474182,0.275,0.08902
19.724724909925534,18.769860058466087,130.0,1203.0,0.1096,0.1599,0.1974,0.1279,0.2041008634709172,0.059989999999999995,0.722744713227595,0.7869,4.585,88.3200690462898,0.00615,0.032279477115506355,0.04292376062438447,0.015235266151281254,0.023557620508505333,0.004571,23.67106253943961,25.53,152.5,1709.0,0.1444,0.42139813927883685,0.4504,0.21475011348526718,0.3613,0.08757999999999999
11.42,20.38,77.58,386.1,0.1425,0.2839,0.2414,0.1052,0.2597,0.09744,0.4956,1.441126771065672,4.226016747102825,68.67007535319831,0.00911,0.07458,0.17480142035867063,0.01867,0.059629999999999996,0.008405495083502997,14.91,26.5,98.87,567.7,0.2098,0.7239296454729012,0.9935100389096334,0.18812317709341428,0.6638,0.17300000000000001
19.996786109677487,14.34,135.1,1208.2239050318258,0.1003,0.1328,0.17577850942065243,0.09927626529299649,0.1809,0.06257788967761088,0.7572,0.7813,5.311276107628706,94.44,0.01149,0.040550642827244354,0.05687999999999999,0.0188860694560848,0.01756,0.005115,22.941351081911193,21.53646624749512,152.2,1575.0,0.1374,0.205,0.4,0.1625,0.2364,0.07678
12.530656142118687,17.52544287755491,83.45826330524986,477.1,0.1278,0.17095044373386536,0.16225712462037745,0.08089,0.2087,0.07459944840810101,0.2918408177136803,0.8902,2.217,24.930059638318497,0.007509999999999999,0.03345,0.036719999999999996,0.01137,0.02165,0.005082,15.47,23.75,103.46105940012352,741.6,0.1791,0.5249,0.5355,0.1741,0.4252594477390005,0.12471316209594645
18.25,19.98,121.02350578211951,1074.2110920692055,0.09645899068999444,0.109,0.1127,0.07378146982151462,0.1794,0.057420000000000006,0.4467,0.7732,2.8558971453623467,57.90457654326977,0.004947989354088497,0.013819999999999999,0.02254,0.01172592105999815,0.014495043418961337,0.002179,22.88,27.66,147.35557046669499,1570.3909224984325,0.1442,0.2840675894704072,0.3784,0.18531971943090098,0.3063,0.08367999999999999
13.408845443027728,20.83,90.2,577.9,0.11674157122597183,0.1645,0.09366000000000001,0.05985,0.2196,0.07451,0.5835,1.3769999999999998,3.8560000000000003,50.96,0.008805,0.030289999999999997,0.024880000000000003,0.01406582327000766,0.01486,0.005412,17.047893772922095,28.14,114.00098370423376,897.0,0.1654,0.3682,0.5176726459724427,0.16034538923437475,0.3612378498418149,0.1151
13.0,21.82,87.5,519.8,0.11581090929192399,0.1932,0.17665227165269787,0.09353,0.21039135448764504,0.07389,0.3063,1.002,2.406,24.32,0.005731,0.035019999999999996,0.03553,0.01226,0.020735994746567888,0.004666609134587373,15.49,31.158375707121063,106.2,739.3,0.1703,0.5401,0.5363679589197232,0.20021147651295637,0.4378,0.1072
12.46,24.04,83.97,475.9,0.11493733517596967,0.22597043632716513,0.2273,0.08542999999999999,0.203,0.07909240987241424,0.2976,1.599,2.7366140931347713,23.94,0.007148999999999999,0.06346188183592406,0.10161890215674625,0.01432,0.026049157252367523,0.006834002596066808,14.976133347071402,33.33728306573337,103.96672262845584,711.4,0.1853,1.058,1.105,0.221,0.4366,0.2075
